CVE_ENT,TOTAL,INICIAL,PREESCOLAR,PRIMARIA,SECUNDARIA,LATITUD,LONGITUD
01,291292,4269,53244,160072,73707,21.8852562,-102.2915677
02,668120,7324,97576,379695,183525,30.8406338,-115.2837585
03,150547,1950,25080,82593,40924,26.0444446,-111.6660725
04,179005,3246,32886,98212,44661,19.8301251,-90.5349087
05,620296,9227,129935,327171,153963,28.6329957,-101.7068294
06,130764,3288,22483,71291,33702,19.4326077,-103.7240868
07,1388520,6844,293072,796609,291995,16.7569318,-93.1292353
08,715837,9498,113293,407815,185231,28.6329957,-106.0691004
09,1387968,15059,219271,746095,407543,19.4326077,-99.133208
10,380297,5008,65307,213596,96386,24.0277202,-104.6531759
11,1235193,7896,233290,683673,310334,21.0190145,-101.2573586
12,776878,3440,167848,422275,183315,17.4391926,-99.5450974
13,604746,4257,99309,332230,168950,20.0910963,-98.7623874
14,1624287,10780,286070,915227,412210,20.6595382,-103.3494376
15,3055082,14224,491313,1704384,845161,19.4968732,-99.7232673
16,957819,12379,184046,540950,220444,19.5665192,-101.7068294
17,351375,4117,58884,195107,93267,18.6813049,-99.1013498
18,246105,2747,45259,134566,63533,21.7513844,-104.8454619
19,1062719,9421,197330,583542,272426,21.1881203,-101.6591594
20,820061,8402,159111,456863,195685,17.0731842,-96.7265889
21,1365195,5178,271589,751723,336705,19.0414398,-98.2062727
22,460485,5382,81481,253497,120125,20.5887932,-100.3898881
23,345641,2983,54941,194034,93683,19.1817393,-88.4791376
24,559583,8252,112524,297011,141796,22.1564699,-100.9855409
25,578890,10271,110424,306849,151346,25.1721091,-107.4795173
26,534227,8991,86191,293322,145723,29.2972247,-110.3308814
27,522485,4249,105905,278171,134160,17.8409173,-92.6189273
28,638223,7974,100308,359932,170009,24.26694,-98.8362755
29,273769,2500,49545,148306,73418,19.318154,-98.2374954
30,1375333,6535,220495,788898,359405,19.173773,-96.1342241
31,438551,7452,96893,228911,105295,20.7098786,-89.0943377
32,355678,4248,70035,193349,88046,22.7709249,-102.5832539
